"Geslacht";"Leeftijd";"Perioden";"Werkloosheidspercentage/Niet seizoengecorrigeerd (%)"
"Totaal";"15 tot 75 jaar";"2003 januari";"     4.6"
"Totaal";"15 tot 75 jaar";"2003 februari";"     4.8"
"Totaal";"15 tot 75 jaar";"2003 maart";"     4.9"
"Totaal";"15 tot 75 jaar";"2003 april";"     4.7"
"Totaal";"15 tot 75 jaar";"2003 mei";"     4.6"
"Totaal";"15 tot 75 jaar";"2003 juni";"     4.9"
"Totaal";"15 tot 75 jaar";"2003 juli";"     4.5"
"Totaal";"15 tot 75 jaar";"2003 augustus";"     4.7"
"Totaal";"15 tot 75 jaar";"2003 september";"     5.0"
"Totaal";"15 tot 75 jaar";"2003 oktober";"     5.1"
"Totaal";"15 tot 75 jaar";"2003 november";"     5.3"
"Totaal";"15 tot 75 jaar";"2003 december";"     5.0"
"Totaal";"15 tot 75 jaar";"2004 januari";"     5.8"
"Totaal";"15 tot 75 jaar";"2004 februari";"     5.8"
"Totaal";"15 tot 75 jaar";"2004 maart";"     6.0"
"Totaal";"15 tot 75 jaar";"2004 april";"     5.8"
"Totaal";"15 tot 75 jaar";"2004 mei";"     5.7"
"Totaal";"15 tot 75 jaar";"2004 juni";"     5.8"
"Totaal";"15 tot 75 jaar";"2004 juli";"     5.2"
"Totaal";"15 tot 75 jaar";"2004 augustus";"     5.4"
"Totaal";"15 tot 75 jaar";"2004 september";"     5.6"
"Totaal";"15 tot 75 jaar";"2004 oktober";"     5.7"
"Totaal";"15 tot 75 jaar";"2004 november";"     5.7"
"Totaal";"15 tot 75 jaar";"2004 december";"     5.6"
"Totaal";"15 tot 75 jaar";"2005 januari";"     6.2"
"Totaal";"15 tot 75 jaar";"2005 februari";"     6.5"
"Totaal";"15 tot 75 jaar";"2005 maart";"     6.5"
"Totaal";"15 tot 75 jaar";"2005 april";"     6.1"
"Totaal";"15 tot 75 jaar";"2005 mei";"     6.0"
"Totaal";"15 tot 75 jaar";"2005 juni";"     5.9"
"Totaal";"15 tot 75 jaar";"2005 juli";"     5.4"
"Totaal";"15 tot 75 jaar";"2005 augustus";"     5.5"
"Totaal";"15 tot 75 jaar";"2005 september";"     5.7"
"Totaal";"15 tot 75 jaar";"2005 oktober";"     5.7"
"Totaal";"15 tot 75 jaar";"2005 november";"     5.7"
"Totaal";"15 tot 75 jaar";"2005 december";"     5.4"
"Totaal";"15 tot 75 jaar";"2006 januari";"     5.8"
"Totaal";"15 tot 75 jaar";"2006 februari";"     5.9"
"Totaal";"15 tot 75 jaar";"2006 maart";"     5.7"
"Totaal";"15 tot 75 jaar";"2006 april";"     5.3"
"Totaal";"15 tot 75 jaar";"2006 mei";"     5.1"
"Totaal";"15 tot 75 jaar";"2006 juni";"     4.9"
"Totaal";"15 tot 75 jaar";"2006 juli";"     4.5"
"Totaal";"15 tot 75 jaar";"2006 augustus";"     4.5"
"Totaal";"15 tot 75 jaar";"2006 september";"     4.7"
"Totaal";"15 tot 75 jaar";"2006 oktober";"     4.7"
"Totaal";"15 tot 75 jaar";"2006 november";"     4.7"
"Totaal";"15 tot 75 jaar";"2006 december";"     4.3"
"Totaal";"15 tot 75 jaar";"2007 januari";"     4.8"
"Totaal";"15 tot 75 jaar";"2007 februari";"     5.0"
"Totaal";"15 tot 75 jaar";"2007 maart";"     4.7"
"Totaal";"15 tot 75 jaar";"2007 april";"     4.2"
"Totaal";"15 tot 75 jaar";"2007 mei";"     4.2"
"Totaal";"15 tot 75 jaar";"2007 juni";"     4.0"
"Totaal";"15 tot 75 jaar";"2007 juli";"     3.8"
"Totaal";"15 tot 75 jaar";"2007 augustus";"     3.8"
"Totaal";"15 tot 75 jaar";"2007 september";"     4.0"
"Totaal";"15 tot 75 jaar";"2007 oktober";"     4.0"
"Totaal";"15 tot 75 jaar";"2007 november";"     4.0"
"Totaal";"15 tot 75 jaar";"2007 december";"     3.6"
"Totaal";"15 tot 75 jaar";"2008 januari";"     4.1"
"Totaal";"15 tot 75 jaar";"2008 februari";"     4.1"
"Totaal";"15 tot 75 jaar";"2008 maart";"     4.0"
"Totaal";"15 tot 75 jaar";"2008 april";"     3.8"
"Totaal";"15 tot 75 jaar";"2008 mei";"     3.7"
"Totaal";"15 tot 75 jaar";"2008 juni";"     3.6"
"Totaal";"15 tot 75 jaar";"2008 juli";"     3.3"
"Totaal";"15 tot 75 jaar";"2008 augustus";"     3.2"
"Totaal";"15 tot 75 jaar";"2008 september";"     3.6"
"Totaal";"15 tot 75 jaar";"2008 oktober";"     3.6"
"Totaal";"15 tot 75 jaar";"2008 november";"     3.6"
"Totaal";"15 tot 75 jaar";"2008 december";"     3.4"
"Totaal";"15 tot 75 jaar";"2009 januari";"     4.0"
"Totaal";"15 tot 75 jaar";"2009 februari";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 maart";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 april";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 mei";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 juni";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 juli";"     4.1"
"Totaal";"15 tot 75 jaar";"2009 augustus";"     4.2"
"Totaal";"15 tot 75 jaar";"2009 september";"     4.6"
"Totaal";"15 tot 75 jaar";"2009 oktober";"     4.7"
"Totaal";"15 tot 75 jaar";"2009 november";"     4.9"
"Totaal";"15 tot 75 jaar";"2009 december";"     4.7"
"Totaal";"15 tot 75 jaar";"2010 januari";"     5.4"
"Totaal";"15 tot 75 jaar";"2010 februari";"     5.5"
"Totaal";"15 tot 75 jaar";"2010 maart";"     5.4"
"Totaal";"15 tot 75 jaar";"2010 april";"     5.1"
"Totaal";"15 tot 75 jaar";"2010 mei";"     5.0"
"Totaal";"15 tot 75 jaar";"2010 juni";"     4.9"
"Totaal";"15 tot 75 jaar";"2010 juli";"     4.7"
"Totaal";"15 tot 75 jaar";"2010 augustus";"     4.7"
"Totaal";"15 tot 75 jaar";"2010 september";"     4.9"
"Totaal";"15 tot 75 jaar";"2010 oktober";"     4.9"
"Totaal";"15 tot 75 jaar";"2010 november";"     4.9"
"Totaal";"15 tot 75 jaar";"2010 december";"     4.7"
"Totaal";"15 tot 75 jaar";"2011 januari";"     5.2"
"Totaal";"15 tot 75 jaar";"2011 februari";"     5.3"
"Totaal";"15 tot 75 jaar";"2011 maart";"     5.1"
"Totaal";"15 tot 75 jaar";"2011 april";"     4.9"
"Totaal";"15 tot 75 jaar";"2011 mei";"     4.8"
"Totaal";"15 tot 75 jaar";"2011 juni";"     4.6"
"Totaal";"15 tot 75 jaar";"2011 juli";"     4.6"
"Totaal";"15 tot 75 jaar";"2011 augustus";"     4.6"
