"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1960","1960",73.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1961","1961",74.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1962","1962",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1963","1963",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1964","1964",73.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1965","1965",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1966","1966",74,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1967","1967",74.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1968","1968",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1969","1969",74.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1970","1970",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1971","1971",74.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1972","1972",75.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1973","1973",75.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1974","1974",75.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1975","1975",76.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1976","1976",76.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1977","1977",76.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1978","1978",77.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1979","1979",77.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1980","1980",78.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1981","1981",78.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1982","1982",78.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1983","1983",78.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1984","1984",79,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1985","1985",78.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1986","1986",79.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1987","1987",79.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1988","1988",79.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1989","1989",79.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1990","1990",80.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1991","1991",80.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1992","1992",80.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1993","1993",80.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1994","1994",80.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1995","1995",80.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1996","1996",81.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1997","1997",81.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1998","1998",81.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1999","1999",81.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2000","2000",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2001","2001",82.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2002","2002",82.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2003","2003",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2004","2004",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2005","2005",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2006","2006",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2007","2007",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2008","2008",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2009","2009",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1960","1960",67.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1961","1961",68,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1962","1962",67.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1963","1963",67.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1964","1964",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1965","1965",67.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1966","1966",67.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1967","1967",67.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1968","1968",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1969","1969",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1970","1970",67.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1971","1971",68.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1972","1972",68.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1973","1973",68.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1974","1974",68.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1975","1975",69.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1976","1976",69.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1977","1977",69.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1978","1978",70.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1979","1979",70.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1980","1980",71,,
